,Raft,Nutrients,Mixing,Spores,Trt,Bag,Day,NDay,UA,UJ,UM,MA,MJ,MM,Chaob,EdChl,TP,TN,InfDensity,UninfDensity,TotalDensity,PrevTotal,InfCount,UninfCount,TotalCount,LogTotDens,LogUninfDens,LogInfDens,LogEdChl,LogTP,LogTN
251,4,Low,Mix,No,Low Mix No,27,22,8,504,1380,0,0,0,0,0,1.25,18.89939347,715.2264,75.33961803,141939.8404,141939.8404,0,0,1884,1884,11.86315859,11.86315859,4.322006132,0.223143551,2.93912983,6.572599136
252,4,High,Mix,Spores,High Mix Spores,28,22,8,381,1350,0,17,0,0,0,3.96,17.81047596,975.8236,1280.773507,130412.8788,131693.6523,0.0097254,17,1731,1748,11.78823369,11.77846069,7.155219476,1.376244025,2.879786821,6.883281832
253,4,Low,No,No,Low No No,29,22,8,639,897,0,0,0,0,0,2.29,8.295836067,697.0452,75.33961803,115721.6533,115721.6533,0,0,1536,1536,11.65894305,11.65894305,4.322006132,0.828551818,2.11575371,6.546850258
254,4,Low,Mix,Spores,Low Mix Spores,30,22,8,557,1084,0,26,2,0,0,1.54,8.706411523,666.7432,2109.509305,123632.3132,125741.8225,0.016776513,28,1641,1669,11.74198606,11.72506722,7.654210642,0.431782416,2.164059711,6.502404964
255,4,High,No,Spores,High No Spores,31,22,8,222,825,0,12,0,0,0,18.66,41.24897912,909.1592,904.0754164,78880.58008,79784.6555,0.011331445,12,1047,1059,11.28708648,11.27569034,6.806912782,2.926382195,3.719626364,6.812520216
256,4,High,Mix,No,High Mix No,32,22,8,170,940,0,0,0,0,0,5.77,20.16682205,859.735,75.33961803,83626.97602,83626.97602,0,0,1110,1110,11.33412143,11.33412143,4.322006132,1.752672081,3.004038781,6.756624202
257,1,Low,Mix,Spores,Low Mix Spores,1,26,9,496,1984,0,134,67,0,0,2.35,8.709207159,NA,15143.26322,186842.2527,201985.5159,0.074972025,201,2480,2681,12.21595127,12.13801997,9.62531104,0.854415328,2.16438076,NA
258,1,High,Mix,No,High Mix No,2,26,9,419,1832,1,0,0,0,0,3.31,18.96081389,1093.9173,75.33961803,169664.8198,169664.8198,0,0,2252,2252,12.04158012,12.04158012,4.322006132,1.196948189,2.942374423,6.997520386
260,1,High,No,No,High No No,4,26,9,1091,1904,0,0,0,0,0,2.83,22.19052362,950.6482,75.33961803,225642.156,225642.156,0,0,2995,2995,12.32670564,12.32670564,4.322006132,1.040276712,3.099665334,6.857144068
261,1,Low,Mix,No,Low Mix No,5,26,9,1398,2411,1,0,0,0,0,1.61,9.525706811,641.2777,75.33961803,287043.9447,287043.9447,0,0,3810,3810,12.5673906,12.5673906,4.322006132,0.476234179,2.253994124,6.463462592
